Entity,n_observed_edges
"'eAlessandro_de_Medici,_Duke_of_Florence'",1
'eAlexander_Downer',1
'eAlexander_Dubcek',1
'eAlexander_Haig',1
'eAlexander_Hamilton',1
'eAlexander_III_of_Russia',3
'eAlexander_III_of_Scotland',1
'eAlexander_II_of_Russia',4
'eAlexander_II_of_Scotland',1
'eAlexander_I_of_Russia',1
'eAlexander_I_of_Scotland',1
'eAlexander_I_of_Yugoslavia',1
'eAlexander_Jagiellon',1
'eAlexander_Stubb',1
'eAlexander_of_Greece',1
'eAlexander_the_Great',1
'eAlexandra_Feodorovna_(Charlotte_of_Prussia)',6
'eAlexandra_of_Denmark',3
'eAlexandre_Millerand',3
'eAlexandre_Ribot',4
'eAlexandrine_of_Mecklenburg-Schwerin',2
'eAlexandros_Zaimis',1
'eAlexei_Kosygin',1
"'eAlexei_Petrovich,_Tsarevich_of_Russia'",1
'eAlexios_V_Doukas',2
'eAlexis_of_Russia',3
'eAlfonso_II_of_Aragon',1
'eAlfonso_IV_of_Aragon',1
'eAlfonso_Lopez_Michelsen',1
'eAlfonso_Lopez_Pumarejo',3
'eAlfonso_VIII_of_Castile',2
'eAlfonso_XIII_of_Spain',1
'eAlfonso_XII_of_Spain',1
'eAlfonso_XI_of_Castile',2
'eAlfonso_X_of_Castile',2
'eAlfred_Deakin',1
'eAlfred_Lemmnitz',1
'eAlfred_the_Great',1
'eAlfredo_Perez_Rubalcaba',2
'eAlfredo_de_Sa_Cardoso',1
'eAlgirdas_Brazauskas',1
'eAli',1
'eAlice_Claypoole_Gwynne',2
'eAloys_Van_de_Vyvere',2
'eAlphonso_Taft',1
'eAlvaro_Uribe',1
'eAmadeo_I_of_Spain',2
"'eAmadeus_III,_Count_of_Savoy'",2
'eAmalia_of_Oldenburg',1
'eAmalie_Auguste_of_Bavaria',2
'eAmalric_II_of_Jerusalem',1
'eAmalric_I_of_Jerusalem',2
'eAmartya_Sen',1
'eAmelie_of_Leuchtenberg',1
'eAmelie_of_Orleans',1
'eAmenhotep_I',1
'eAmenhotep_II',1
'eAmintore_Fanfani',5
'eAmitabh_Bachchan',1
'eAmyntas_III_of_Macedon',1
'eAnand_Panyarachun',1
'eAnders_Fogh_Rasmussen',1
'eAndre_Rossinot',1
'eAndre_Rouvoet',1
'eAndre_Santini',1
'eAndre_Tardieu',2
'eAndreas_Papandreou',1
'eAndres_Pastrana_Arango',2
'eAndrew_III_of_Hungary',1
'eAndrew_II_of_Hungary',2
'eAndrew_Jackson',1
'eAndrew_Johnson',1
'eAndris_Piebalgs',1
'eAndrius_Kubilius',2
'eAndronikos_III_Palaiologos',1
'eAndronikos_II_Palaiologos',1
'eAndronikos_I_Komnenos',1
'eAndrus_Ansip',1
'eAnerood_Jugnauth',1
'eAngela_Merkel',1
'eAnibal_Cavaco_Silva',2
'eAnn_Dunham',2
'eAnn_Richards',1
'eAnna_Jagiellon',1
'eAnna_Pavlovna_of_Russia',1
"'eAnna_of_Austria,_Queen_of_Spain'",4
'eAnna_von_Schweidnitz',2
'eAnne-Marie_Idrac',1
'eAnne_Catherine_of_Brandenburg',2
'eAnne_Eleonore_of_Hesse-Darmstadt',4
"'eAnne_Marie_Louise_dOrleans,_Duchess_of_Montpensier'",1
'eAnne_Marie_dOrleans',2
'eAnne_Neville',1
'eAnne_of_Austria',4
"'eAnne_of_Austria,_Queen_of_Poland'",3
'eAnne_of_Brittany',4
'eAnne_of_Cyprus',4
'eAnne_of_Denmark',4
'eAnne_of_Kiev',2
'eAnneli_Jaatteenmaki',2
"'eAnthony,_Duke_of_Brabant'",2
'eAnthony_Eden',1
'eAnthony_of_Saxony',1
'eAntiochus_VIII_Grypus',1
'eAntipope_Felix_V',2
'eAntoine_Pinay',2
'eAntoine_of_Navarre',3
'eAntonia_Minor',2
'eAntonia_Tryphaena',1
"'eAntonio,_Prior_of_Crato'",1
'eAntonio_Granjo',2
'eAntonio_Jose_de_Almeida',2
'eAntonio_Lopez_de_Santa_Anna',1
'eAntonio_Maria_da_Silva',4
'eAntonio_Ramalho_Eanes',1
'eAntonio_Segni',3
'eAntonio_de_Oliveira_Salazar',2
'eAntonio_de_Spinola',2
'eAnwar_Ibrahim',1
'eArcadius',5
'eArchduchess_Elisabeth_Franziska_of_Austria',5
'eArchduchess_Louise_of_Austria',1
'eArchduchess_Maria_Amalia_of_Austria',1
"'eArchduke_Charles,_Duke_of_Teschen'",2
'eArchduke_Ferdinand_Karl_Viktor_of_Austria-Este',1
'eArchduke_Franz_Ferdinand_of_Austria',1
'eArchduke_Franz_Karl_of_Austria',3
"'eArchduke_Joseph,_Palatine_of_Hungary'",2
'eArchduke_Karl_Ferdinand_of_Austria',4
'eArchduke_Karl_Ludwig_of_Austria',1
'eArchduke_Rainer_Joseph_of_Austria',1
'eArchelaus_of_Cappadocia',1
"'eArchibald_Primrose,_5th_Earl_of_Rosebery'",1
'eAriel_Sharon',2
'eAristide_Briand',6
'eArlene_Dahl',1
'eArmand_Fallieres',3
'eArnold_Ruutel',2
'eArnold_Schwarzenegger',1
'eArnulf_of_Carinthia',1
'eArpad_Goncz',1
'eArthur_Balfour',1
"'eArthur_III,_Duke_of_Brittany'",1
'eArthur_Meighen',1
'eArthur_Miller',1
"'eArthur_Wellesley,_1st_Duke_of_Wellington'",1
'eArthur_Woods',1
'eAsif_Ali_Zardari',1
'eAstrid_of_Sweden',5
'eAtia_Balba_Caesonia',3
'eAugusta_Victoria_of_Schleswig-Holstein',7
'eAugusta_of_Saxe-Weimar-Eisenach',4
'eAugustine_Washington',1
'eAugusto_Pinochet',1
'eAugusto_de_Vasconcelos',1
'eAugustus',2
'eAugustus_III_of_Poland',5
'eAugustus_II_the_Strong',1
'eAung_San',1
'eAurangzeb',1
'eAzzeddine_Laraki',1
'eB._J._Vorster',1
'eBabita',2
'eBachir_Gemayel',1
'eBahi_Ladgham',4
'eBakili_Muluzi',1
'eBaldwin_II_of_Jerusalem',2
"'eBaldwin_IV,_Count_of_Flanders'",1
'eBaldwin_I_of_Constantinople',4
"'eBaldwin_V,_Count_of_Flanders'",1
"'eBaldwin_V,_Count_of_Hainaut'",4
'eBalraj_Sahni',1
'eBarbara_Bush',2
'eBarbara_Hale',1
'eBarbara_Turner_(actress)',1
'eBarbara_of_Brandenburg',1
'eBarbara_of_Cilli',2
'eBarend_Biesheuvel',2
'eBarry_Goldwater',1
'eBasil_II',2
"'eBeatrice_I,_Countess_of_Burgundy'",4
'eBeatrice_of_Provence',2
'eBeatrice_of_Savoy',3
'eBeatrix_of_the_Netherlands',1
'eBehgjet_Pacolli',1
'eBeji_Caid_el_Sebsi',3
'eBela_III_of_Hungary',2
'eBela_IV_of_Hungary',1
'eBen_Bot',1
'eBen_Nelson',1
'eBenazir_Bhutto',3
"'eBenigno_Aquino,_Jr.'",2
'eBenito_Mussolini',1
'eBenjamin_Disraeli',1
'eBenjamin_Franklin',1
'eBenjamin_Harrison',1
'eBenjamin_Mkapa',1
'eBenjamin_Netanyahu',1
'eBenjamin_Travis_Laney',1
'eBerenice_I_of_Egypt',2
'eBernadette_Chirac',1
'eBernard_Blier',1
'eBernard_Bosson',2
'eBernard_Kouchner',2
'eBernard_Landry',1
'eBernard_Pons',3
'eBernardino_Machado',2
"'eBernardo_de_Sa_Nogueira_de_Figueiredo,_1st_Marquis_of_Sa_da_Bandeira'",1
"'eBernhard_I,_Duke_of_Saxe-Meiningen'",1
'eBertel_Haarder',1
'eBertha_of_Holland',3
'eBertha_of_Savoy',2
'eBertie_Ahern',2
'eBertrade_de_Montfort',2
'eBettino_Craxi',1
'eBetty_Ford',1
'eBharrat_Jagdeo',1
'eBhumibol_Adulyadej',1
'eBianca_Maria_Sforza',1
'eBianca_Maria_Visconti',1
'eBibi_Besch',1
'eBill_Clements',1
'eBill_Clinton',3
'eBill_Richardson',1
'eBill_Ritter',1
'eBill_Williams_(actor)',1
'eBilly_Hughes',1
'eBilly_Ray_Cyrus',1
'eBingu_wa_Mutharika',1
'eBirch_Bayh',1
'eBjorn_Engholm',1
'eBlanche_I_of_Navarre',1
'eBlanche_of_Anjou',1
'eBlanche_of_Artois',2
'eBlanche_of_Castile',4
'eBlanche_of_Valois',1
'eBlythe_Danner',1
'eBob_Hawke',1
'eBob_Kerrey',2
'eBob_Marley',3
'eBob_Miller_(Nevada_governor)',1
'eBogdan_Borusewicz',1
"'eBoleslaus_I,_Duke_of_Bohemia'",1
'eBoleslaw_III_Wrymouth',5
'eBoleslaw_IV_the_Curly',3
'eBoleslaw_I_the_Tall',1
'eBona_Sforza',3
'eBona_of_Savoy',1
'eBonne_of_Artois',1
'eBonne_of_Berry',1
'eBonne_of_Bohemia',4
'eBoris_III_of_Bulgaria',1
'eBoris_Sagal',1
'eBoris_Tadic',1
'eBorut_Pahor',1
'eBoutros_Boutros-Ghali',2
'eBram_Peper',1
"'eBretislaus_I,_Duke_of_Bohemia'",1
'eBrian_Cowen',2
'eBrian_Mikkelsen',1
'eBrian_Mulroney',1
'eBrice_Hortefeux',3
'eBronislaw_Komorowski',2
'eBruce_Dern',1
'eBruce_Lee',1
'eBruce_Paltrow',1
'eBruno_Le_Maire',1
'eBruno_Tobback',1
'eBud_Brown_(politician)',1
'eBuddha_Loetla_Nabhalai',1
'eBuddha_Yodfa_Chulaloke',1
'eBulent_Ecevit',2
'eBurhanuddin_Rabbani',1
'eC._L._Franklin',1
'eCaleb_Deschanel',2
'eCaligula',1
'eCalin_Popescu-Tariceanu',2
'eCalvin_Coolidge',1
'eCamille_Chautemps',5
'eCamille_Huysmans',1
'eCanute',1
'eCarl_Bildt',1
'eCarl_Gustaf_Emil_Mannerheim',1
'eCarl_Reiner',1
'eCarl_XVI_Gustaf_of_Sweden',3
'eCarlo_Azeglio_Ciampi',3
'eCarlo_Buonaparte',8
'eCarlos_Andres_Perez',1
'eCarlos_Arias_Navarro',1
'eCarlos_Galvao_de_Melo',1
'eCarlos_I_of_Portugal',1
'eCarlota_Joaquina_of_Spain',3
'eCarmine_Coppola',2
'eCarol_II_of_Romania',1
'eCarol_I_of_Romania',1
'eCaroline_Augusta_of_Bavaria',1
'eCaroline_Bonaparte',1
'eCaroline_Matilda_of_Great_Britain',2
'eCaroline_of_Ansbach',3
'eCaroline_of_Baden',4
'eCasimir_III_of_Poland',2
'eCasimir_II_the_Just',3
'eCasimir_IV_Jagiellon',4
'eCasimir_I_the_Restorer',1
'eCatherine_Deneuve',1
'eCatherine_Howard',1
'eCatherine_I_of_Russia',2
'eCatherine_Jagiellon',1
'eCatherine_Parr',1
'eCatherine_Pavlovna_of_Russia',1
'eCatherine_Trautmann',1
'eCatherine_de_Medici',5
'eCatherine_of_Aragon',1
'eCatherine_of_Medici',5
'eCatherine_of_Valois',2
'eCatherine_the_Great',2
"'eCecily_Neville,_Duchess_of_York'",1
"'eCesar,_Duke_of_Vendome'",1
'eCesar_Gaviria',1
'eChadli_Bendjedid',2
'eChaim_Weizmann',1
'eChandrika_Kumaratunga',1
'eCharlemagne',1
"'eCharles,_Count_of_Valois'",2
"'eCharles,_Duke_of_Orleans'",1
"'eCharles,_Duke_of_Vendome'",2
'eCharles-Maurice_de_Talleyrand-Perigord',1
'eCharles_Albert_of_Sardinia',3
'eCharles_August_Lindbergh',1
"'eCharles_Brandon,_1st_Duke_of_Suffolk'",1
'eCharles_Dupuy',2
"'eCharles_Emmanuel_I,_Duke_of_Savoy'",1
"'eCharles_Emmanuel_II,_Duke_of_Savoy'",1
'eCharles_Emmanuel_III_of_Sardinia',1
"'eCharles_Ferdinand,_Duke_of_Berry'",2
"'eCharles_Frederick,_Grand_Duke_of_Baden'",2
"'eCharles_Frederick,_Grand_Duke_of_Saxe-Weimar-Eisenach'",1
"'eCharles_I,_Duke_of_Bourbon'",2
"'eCharles_I,_Duke_of_Brittany'",2
"'eCharles_I,_Landgrave_of_Hesse-Kassel'",2
"'eCharles_II,_Archduke_of_Austria'",4
"'eCharles_II,_Duke_of_Parma'",2
"'eCharles_II,_Grand_Duke_of_Mecklenburg-Strelitz'",2
"'eCharles_III,_Duke_of_Lorraine'",3
"'eCharles_III,_Duke_of_Parma'",1
"'eCharles_III_Philip,_Elector_Palatine'",1
'eCharles_III_of_Naples',3
'eCharles_III_of_Spain',4
'eCharles_II_of_England',1
'eCharles_II_of_Naples',2
'eCharles_II_of_Navarre',2
'eCharles_II_of_Spain',2
"'eCharles_IV,_Duke_of_Lorraine'",1
"'eCharles_IV,_Holy_Roman_Emperor'",5
'eCharles_IV_of_France',2
'eCharles_IV_of_Spain',4
'eCharles_IX_of_France',1
'eCharles_I_of_England',3
'eCharles_I_of_Hungary',1
'eCharles_I_of_Naples',2
'eCharles_Lindbergh',1
'eCharles_MacArthur',1
'eCharles_Pasqua',4
'eCharles_Robberts_Swart',1
"'eCharles_Spencer-Churchill,_9th_Duke_of_Marlborough'",1
"'eCharles_Theodore,_Elector_of_Bavaria'",2
"'eCharles_V,_Duke_of_Lorraine'",1
"'eCharles_V,_Holy_Roman_Emperor'",4
"'eCharles_VI,_Holy_Roman_Emperor'",5
"'eCharles_VII,_Holy_Roman_Emperor'",2
'eCharles_VIII_of_France',1
'eCharles_VIII_of_Sweden',1
'eCharles_VII_of_France',1
'eCharles_VI_of_France',5
"'eCharles_William_Ferdinand,_Duke_of_Brunswick-Wolfenbuttel'",1
'eCharles_XIII_of_Sweden',1
'eCharles_XIV_John_of_Sweden',1
'eCharles_XI_of_Sweden',1
'eCharles_XV_of_Sweden',2
'eCharles_X_Gustav_of_Sweden',1
'eCharles_X_of_France',4
'eCharles_de_Broqueville',5
'eCharles_de_Freycinet',2
'eCharles_de_Gaulle',4
'eCharles_the_Bald',3
'eCharles_the_Bold',2
'eCharles_the_Fat',2
'eCharlie_Chaplin',2
'eCharlie_Crist',1
"'eCharlotte,_Grand_Duchess_of_Luxembourg'",1
'eCharlotte_Amalie_of_Hesse-Kassel',2
'eCharlotte_of_Mecklenburg-Strelitz',5
'eCharlotte_of_Savoy',4
'eChaudhry_Pervaiz_Elahi',1
'eChaudhry_Shujaat_Hussain',1
'eChavalit_Yongchaiyudh',1
'eChen_Shui-bian',1
'eCherie_Blair',2
'eCheryl_Ladd',1
'eChet_Culver',1
'eChiang_Kai-shek',1
'eChildebert_I',1
'eChilperic_I',1
'eChlothar_I',1
'eChlothar_II',1
'eChris_Watson',1
'eChristian_Estrosi',1
'eChristian_III_of_Denmark',1
'eChristian_II_of_Denmark',3
'eChristian_IV_of_Denmark',1
'eChristian_IX_of_Denmark',6
'eChristian_I_of_Denmark',3
'eChristian_Jacob_(politician)',3
'eChristian_VIII_of_Denmark',2
'eChristian_Wulff',2
'eChristian_X_of_Denmark',1
'eChristina_of_Denmark',1
'eChristina_of_Saxony',2
'eChristine_Boutin',2
'eChristine_Lagarde',3
'eChristine_Marie_of_France',2
'eChristopher_Plummer',1
'eChristopher_of_Bavaria',2
'eChuan_Leekpai',2
'eChuck_Hagel',1
'eChulalongkorn',2
'eClark_Gable',1
'eClaude_Bartolone',2
'eClaude_Cheysson',1
'eClaude_Goasguen',1
'eClaude_Gueant',2
'eClaude_of_France',2
'eClaude_of_Valois',1
'eClaudio_Scajola',2
'eClaudius',2
'eClement_Attlee',1
"'eClementine_Churchill,_Baroness_Spencer-Churchill'",2
'eCleopatra',1
'eCleopatra_II_of_Egypt',1
'eCleopatra_Thea',2
'eClint_Eastwood',1
'eClovis_I',2
'eCnut_the_Great',1
'eColleen_Dewhurst',1
'eConnie_Hedegaard',1
"'eConrad_II,_Holy_Roman_Emperor'",1
'eConrad_of_Montferrat',2
"'eConstance,_Queen_of_Sicily'",1
'eConstance_of_Antioch',1
'eConstance_of_Aragon',1
'eConstance_of_Arles',2
'eConstance_of_Austria',1
'eConstance_of_Hungary',1
"'eConstance_of_Sicily,_Queen_of_Aragon'",2
'eConstantine_I_of_Greece',3
'eConstantine_VII',1
'eConstantine_VIII',3
'eConstantine_the_Great',3
'eConstantius_Chlorus',1
'eConstantius_II',2
'eCorazon_Aquino',2
'eCornelius_Vanderbilt_II',2
"'eCosimo_I_de_Medici,_Grand_Duke_of_Tuscany'",2
'eCountess_Augusta_Reuss_of_Ebersdorf',1
'eCountess_Palatine_Caroline_of_Zweibrucken',1
'eCrin_Antonescu',2
'eCyril_Cusack',1
'eDagmar_of_Bohemia',1
'eDalia_Grybauskaite',2
'eDalia_Itzik',3
'eDan_Coats',1
'eDan_Quayle',1
'eDaniel_Inouye',3
'eDaniel_Vaillant',2
'eDaniel_of_Galicia',1
'eDanielle_Mitterrand',1
'eDanny_Thomas',1
'eDaoguang_Emperor',2
'eDario_Franceschini',1
'eDarryl_F._Zanuck',1
'eDavid',1
'eDavid_Ben-Gurion',2
'eDavid_Brown_(producer)',1
'eDavid_Cameron',2
'eDavid_II_of_Scotland',1
'eDavid_Kelly_(actor)',1
'eDavid_Miliband',1
'eDavid_Oddsson',2
'eDavid_Paterson',1
'eDawda_Jawara',1
'eDebbie_Reynolds',1
'eDebendranath_Tagore',1
'eDecius',1
'eDemetrius_II_Nicator',2
'eDemetrius_I_of_Macedon',1
'eDeng_Xiaoping',1
'eDesi_Arnaz',1
'eDeva_(music_director)',1
'eDharmendra',3
'eDiane_Cilento',1
'eDiane_Ladd',1
'eDick_Cheney',2
'eDick_Durbin',1
'eDidier_Reynders',1
'eDimitrios_Voulgaris',1
'eDimple_Kapadia',2
'eDina_Pathak',1
'eDiocletian',3
'eDiogo_de_Freitas_do_Amaral',1
'eDioncounda_Traore',1
'eDiosdado_Macapagal',2
'eDirk_Kempthorne',1
'eDolores_Costello',1
'eDomingos_Leite_Pereira',2
'eDominick_Dunne',1
'eDominique_Baudis',1
'eDominique_Bussereau',3
'eDominique_Perben',4
'eDominique_Strauss-Kahn',2
'eDominique_de_Villepin',4
'eDon_Siegelman',1
'eDonald_Kagan',1
'eDonald_Rumsfeld',2
'eDonald_Sutherland',1
'eDoris_Leuthard',2
'eDorothea_Maria_of_Anhalt',2
'eDorothea_of_Brandenburg',3
'eDorothea_of_Saxe-Lauenburg',2
'eDouglas_Fairbanks',1
'eDragan_Marsicanin',1
'eDries_van_Agt',1
'eDuarte_Leite',3
'eDuchess_Anna_Amalia_of_Brunswick-Wolfenbuttel',1
'eDuchess_Helene_of_Mecklenburg-Schwerin',2
'eDuchess_Maria_Anna_Victoria_of_Bavaria',2
'eDuke_Henry_of_Mecklenburg-Schwerin',2
'eDuke_Maximilian_Joseph_in_Bavaria',2
'eDulce_of_Aragon',2
'eDwight_D._Eisenhower',2
'eE._V._V._Satyanarayana',1
'eEadgyth',1
'eEamon_de_Valera',2
'eEberhard_Diepgen',1
'eEberhard_van_der_Laan',1
'eEd_Begley',1
'eEd_Rendell',1
'eEd_Wynn',1
'eEddie_Albert',1
'eEddie_Fisher_(singer)',1
'eEdgar_Bergen',1
'eEdgar_Faure',3
'eEdgardo_Vega_Yunque',1
'eEdith_Cresson',4
'eEdmund_Muskie',1
'eEdmund_Randolph',1
'eEdouard_Balladur',3
'eEdouard_Daladier',5
'eEdouard_Herriot',2
'eEduardo_Frei_Ruiz-Tagle',1
'eEduardo_Santos',1
'eEduardo_Zaplana',1
"'eEdward,_King_of_Portugal'",3
'eEdward_Fortunatus',1
'eEdward_Fox_(actor)',1
'eEdward_III_of_England',4
'eEdward_II_of_England',1
'eEdward_IV_of_England',2
'eEdward_I_of_England',2
"'eEdward_J._DeBartolo,_Sr.'",1
'eEdward_VII',1
'eEdward_VIII_of_the_United_Kingdom',1
'eEdward_VII_of_the_United_Kingdom',1
'eEdward_VI_of_England',1
'eEdward_the_Elder',1
'eEdwin_Edwards',1
'eEhud_Barak',2
'eEhud_Olmert',2
'eEinars_Repse',1
'eEleanor_Roosevelt',2
'eEleanor_of_Alburquerque',3
'eEleanor_of_Aquitaine',6
"'eEleanor_of_Aragon,_Queen_of_Portugal'",4
'eEleanor_of_Austria',1
"'eEleanor_of_Austria,_Queen_of_Poland'",2
'eEleanor_of_Castile',3
"'eEleanor_of_England,_Queen_of_Castile'",2
"'eEleanor_of_Naples,_Duchess_of_Ferrara'",1
"'eEleanor_of_Portugal,_Holy_Roman_Empress'",3
'eEleanor_of_Provence',5
'eEleanor_of_Toledo',2
'eElena_of_Montenegro',3
'eEleonor_Magdalene_of_Neuburg',3
'eEleonora_Gonzaga_(1630-1686)',3
'eElio_Di_Rupo',3
'eEliot_Spitzer',1
'eElisa_Bonaparte',2
"'eElisabeth,_Duchess_of_Luxembourg'",2
'eElisabeth_Charlotte_dOrleans',1
'eElisabeth_Christine_of_Brunswick-Wolfenbuttel',6
'eElisabeth_Christine_of_Brunswick-Wolfenbuttel-Bevern',1
'eElisabeth_Farnese',4
'eElisabeth_Guigou',3
'eElisabeth_of_Bavaria',2
"'eElisabeth_of_Bavaria,_Queen_of_Belgium'",3
"'eElisabeth_of_Bavaria,_Queen_of_Germany'",3
'eElisabeth_of_France_(1602-1644)',4
'eElisabeth_of_Habsburg_(1436-1505)',5
'eElisabeth_of_Nuremberg',1
'eElisabeth_of_Swabia',2
'eElisabeth_of_Valois',3
'eElisabetta_Farnese',5
'eElizabeth_Cromwell',1
'eElizabeth_Dole',1
'eElizabeth_II',3
'eElizabeth_I_of_England',2
'eElizabeth_Rees-Williams',1
'eElizabeth_Richeza_of_Poland',1
"'eElizabeth_Stuart,_Queen_of_Bohemia'",2
'eElizabeth_Woodville',3
'eElizabeth_of_Aragon',1
'eElizabeth_of_Bohemia',2
'eElizabeth_of_Bohemia_(1292-1330)',4
'eElizabeth_of_Bosnia',2
"'eElizabeth_of_Carinthia,_Queen_of_Germany'",4
'eElizabeth_of_Luxembourg',4
"'eElizabeth_of_Poland,_Queen_of_Hungary'",1
'eElizabeth_of_Pomerania',2
'eElizabeth_of_Russia',1
'eElizabeth_of_York',4
'eElliot_Richardson',1
'eElpidio_Quirino',1
'eEls_Borst',2
'eElvis_Presley',1
'eEmil_Boc',1
'eEmil_Constantinescu',1
'eEmile_Lahoud',1
'eEmile_Loubet',2
'eEmile_Vandervelde',2
'eEmile_Zuccarelli',2
'eEmilio_Aguinaldo',1
'eEmilio_Colombo',2
'eEmma_Bonino',1
'eEmma_of_Normandy',2
"'eEmmanuel_Philibert,_Duke_of_Savoy'",1
'eEmperor_Gaozong_of_Tang',1
'eEmperor_Meiji',1
'eEmperor_Taisho',1
'eEmperor_Taizong_of_Tang',1
'eEmpress_Elisabeth_of_Austria',1
'eEmpress_Kojun',2
'eEmpress_Matilda',4
'eEmpress_Teimei',1
'eEnda_Kenny',1
'eEnrico_De_Nicola',1
'eEnrico_Letta',1
'eEnver_Hoxha',1
"'eErcole_III_dEste,_Duke_of_Modena'",2
"'eErcole_I_dEste,_Duke_of_Ferrara'",1
'eEric_Besson',3
'eEric_Louw',1
'eEric_Raoult',2
'eEric_Roberts',1
'eEric_Thompson',2
'eEric_Woerth',4
'eEric_of_Pomerania',1
'eErich_Mende',2
'eErkki_Liikanen',1
'eErmengard_of_Italy',1
"'eErnest,_Elector_of_Saxony'",1
"'eErnest_Augustus,_Duke_of_Brunswick'",2
"'eErnest_Augustus,_Elector_of_Brunswick-Luneburg'",2
'eErnest_Augustus_I_of_Hanover',2
"'eErnest_I,_Duke_of_Saxe-Gotha'",2
'eErnesto_Samper',1
'eErnst_Benda',1
'eEsperanza_Aguirre',1
'eEstrid_Svendsdatter',1
'eEthelred_the_Unready',1
'eEthelwulf_of_Wessex',1
'eEugene_ONeill',1
'eEugene_de_Beauharnais',3
'eEunice_Kennedy_Shriver',1
'eEva_Peron',1
'eEvan_Bayh',1
'eEvgeny_Paton',1
'eF._W._de_Klerk',2
'eFahd_of_Saudi_Arabia',2
'eFaiz_Ahmad_Faiz',1
'eFarooq_Leghari',2
'eFatos_Nano',1
'eFausta',1
'eFelipe_Gonzalez',1
'eFelix_E._Feist',1
'eFelix_Gaillard',2
'eFelix_Houphouet-Boigny',2
'eFeodor_III_of_Russia',2
"'eFerdinand,_Duke_of_Breisgau'",3
